file,start_verse,end_verse,content
Ops/004.html,1,7,"The Life of the Victorious Buddha The Life of the Victorious Buddha Reverence to Him, the Fortunate One, the Worthy One, the Perfect Sambuddha Homage to the Three Treasures [vv. 1-7] I worship the Great Seer's supreme lotus feet with my head, which give sweet Emancipation to good men, like honey gives sweetness to bees; and the sun-like Dhamma, which arose from the immoveable King of Dhamma, which now by its splendour dispels the great darkness of ignorance in the world; and the moon-like Saṅgha, with its refulgent and glorious virtue, which awakens faith in the minds of the people. I will now tell in short the life of the Victorious Buddha, which is of widespread benefit both near and far, the value of which I always remember. To those who remember it, the excellent, rare, and safe state of Nibbāna becomes not so rare, so why speak about the acquisition of wealth? Those good people who listen, who constantly wish for that which is free from old-age and death, should enjoy my poem, which is made in lovely verses and orderly lines, which are beautiful, sweet, and pure, and bring pleasure to the ears of those who listen."
Ops/005.html,8,19,"Part One: The Far Distant Past [vv. 8-69] Part One: The Far Distant Past [vv. 8-69] Sumedha [vv. 8-19] At a time of four immeasurables and a hundred thousand aeons ago there was a city where meritorious people lived: it was endowed with jewels, crowded with people, full of beautiful shops, and adorned with decorated towers. It had the ten sounds, and was like the city of Sakka, the Lord of the Gods - it was a brilliant, excellent city named Amaravati. A brahmin was born in that place, who was greatly honoured by the whole world. He was one of great compassion and wisdom, he was handsome and delightful, a youth named Sumedha, who had learned the Vedas. That Budding Victor, after the death of his parents, was shown the immeasurable wealth of his inheritance by the councillor who managed the estate, and after surveying that mass of wealth in the countless hundreds of storerooms, and piling it up, he said: “Alas! My father and the rest of my relatives have gone to the gods and have not taken even one cent with them!” That Mine of Virtue became anxious, and reflected thus: “Although I have received this valuable wealth, I am bound to die.” Then sitting down in seclusion in his own beautiful home, while surveying the faults in the body, he advised himself thus: “Painful is the break-up of the body, painful also is its arising again - I am subject to death, old age, and sickness.” Having thus seen the countless faults in the body, and informing the king, he had drums beaten in the city, and for seven days thereafter he satisfied the beggars who gathered at the sound of the drum with a flood of gifts, just as bees gather and are satisfied with the sweet scent of a multitude of blossoms."
Ops/006.html,20,31,"The Going-Forth [vv. 20-31] The Going-Forth [vv. 20-31] Having seen that just as a lotus grove does not go to destruction by the falling of snowflakes so his treasures did not go to destruction through his supreme generosity, like a lordly elephant from a raging forest fire, he departed from his crying relatives and from his delightful home. The Champion then went to the Great Himālayas, which are perfumed with yellow sandalwood, camphor, and aloe; adorned with blossoming Champa, Asoka, and trumpet-flower trees; and embellished with Areca Palms, Punnāga, and Ironwood trees. They are crowded with various animals, such as lions, tigers, hyenas, elephants, leopards, monkeys and horses, and filled with the sounds of mynahs, swans, geese, herons, parrots, doves, cuckoos and blue jays. They are frequented by Divinities, Gods, and Angels, and by Adepts and Wizards. They shine with charming realgar and sapphire mountain ranges, and places having uncountable silver and gold deposits. They have innumerable lakes and tanks with golden and jewelled staircases and have hundreds of waterfalls covered with cool mist, with countless Goddesses playing in the clearirngs. They shimmer with delightful and colourful semi-divine birds and snakes, and have peacocks dancing in the groves. There are arbours of vine adorned with enclosures covered with white sand. It has countless stores of treasures, with gold, jewels, pearls, and so on - the Himālayas are an abode for people who are longing for merit, just as bees are longing for flowers-blossoms."
Ops/007.html,32,45,"Buddha Dīpaṅkara [vv. 32-45] Buddha Dīpaṅkara [vv. 32-45] That Hero entered into that region, and seeing there the requisites for a sage inside an excellent leaf-hut that had been made by Sakka, the Thousand-Eyed One, put on the dress of a sage. Then, within seven days, he attained the eightfold blissful states of concentration and the five deep knowledges, and lived on there intent on meditation. One day when the Sage, the Great Ascetic Sumedha, was flying through the air, he saw people clearing the road, and descended from the sky, and asked them: “Why are you clearing the road?” “Do you not know, Sumedha? The Buddha Dīpaṅkara, after attaining Supreme Awakening and setting rolling the unsurpassed Dhamma Wheel, while teaching the Dhamma to the world, has come to our fair city named Delight, and is residing here in the Beautiful Monastery. We have invited that Sole Leader of the World and four hundred thousand pure monks for alms. Visionary One! We are clearing the path for his arrival.” So the people spoke, bringing pleasure to his ears. His mind upraised with joy, that Mine of Virtue, having heard the word ’Buddha’, was not able to restrain his emotion. Therefore the Hero begged for a small section of the road to clear, and having received an uneven spot, he began to even it out. But before that place was prepared, the Sole Protector of the World, who is worshipped by men and gods, the Benefitter of the World, the Great Seer, entered the path along with the monks. Having seen the Realised One with his bright six-coloured halo blazing forth entering that place, he thought rejoicing: “What if I were to lie down in the mud, having made a bridge of my very self for that Hero, that Great Seer, together with his Saṅgha,” and realising that would be for his benefit and happiness for a long time, the Budding Victor Sumedha lay down."
Ops/008.html,46,59,"The Resolution [vv. 46-59] The Resolution [vv. 46-59] The Firm One, while lying in that place, after raising his charming lotus-like eyes, and once more contemplating the Buddha Dīpaṅkara, thought thus: “If I so wished, after bringing to an end the endless battle of existence today, and becoming a novice in the Saṅgha, I could enter the excellent city of Nibbāna. But what is there for me in ordination, or in the destruction of the defilements? Like this Buddha, Complete Emancipation is best for me only after becoming a supreme Buddha myself and carrying the people across the ocean of existence with the boat of the Dhamma, and bringing them to the City of Nibbāna.” After reflecting thus he lay there in the mud radiating beautifully. So the Hero, after seeing the pleasing and Fortunate Buddha Dīpaṅkara with his mind detached and his six-coloured rays, with his heart uplifted with joy, thus made his aspiration for Complete Awakening. After approaching the place where the sage was lying in the mud, and seeing him making a bridge out of himself, Dīpaṅkara, the Realised One, the Hero, the World's Sole Eye, the World's Sole Bridge, stood near his head and announced: “In the future he will be a Sambuddha known by the name of Gotama,” and he spoke about his disciples, his city, and so on. Having said this, that Buddha of Lovely Virtue, together with his Saṅgha, circumbulated him, and worshipped him with eight handfuls of flowers. Having done this, the Leader of the World, together with the Saṅgha, entered into the city called Delight, which has fair pleasure gardens and dwelling places. Sumedha, the great ascetic, having great wisdom, and controlled senses, after hearing the Buddha's pronouncement, rejoiced, arose from the mud, folded his legs crosswise, and sat down on the flower-seat, and was worshipped by the assembly of Gods with flowers and so on. Rejoicing, the Gods from the ten thousand world-systems praised the Hero who was sitting on the flower-seat."
Ops/009.html,60,69,"The Perfections [vv. 60-69] The Perfections [vv. 60-69] Then, while sitting there, Sumedha examined above, below, and in the main and intermediate directions what things go to make one a Buddha, and he examined all the elements of the Dhamma in this way. The first thing he saw in his mind was the perfection of giving, and when he had understood it fully, he sought out the next perfection. In this way he saw by himself with the eye of knowledge all the perfections, and enduring a great deal of suffering in the rolling on of Saṁsāra, seeking the peaceful, the deathless, he fulfilled the perfection of giving by giving to all beings, like a wish-fulfilling tree or a wish-fulfilling jewel, and gave whatever they desired, beginning with excellent food and so forth. After doing a good many other things, as many as the stars in the sky, gladly the Hero, tore out his charming eyes and gave them to beggars. He also gave his body's flesh, more than the dust on the earth; and his blood, more than the waters in the ocean. After giving away his diadem-adorned heads countless times, while making the earth shake, he even gave away his wife and children. Thus after fulfilling all the perfections of generosity, morality, renunciation, wisdom, energy, patience, truthfulness, resolution, friendliness, and equanimity, he was born as Vessantara. From that life he passed away and re-arose in the Tusita Heaven, the beautiful abode of the Gods, and for a very long time he dwelt there enjoying endless blessings."
Ops/010.html,70,81,"Part Two: The Not-So-Distant Past [vv. 70-267] Part Two: The Not-So-Distant Past [vv. 70-267] The Conception [vv. 70-81] The Gods, with their hands held in reverential salutation, begged the Supreme Man, saying: “Great Champion, it's time for your Complete Awakening”. After examining the time and understanding it was indeed the time for his Awakening, he gave his promise to the assembly of Gods, and went to the Nandana Grove with them, and there he heard them say: “Having passed away from here, pass on to a good state of being.” The Wise One passed away and in this existence arose in the beautiful city called Kapilavatthu, which was a crowded city having great horses with decorated limbs and delightfully tall lordly elephants. It had various beautiful shops rich in wares, towers adorned with a mass of flags, great houses decorated with watchtowers, lovely city gates, beautiful women's houses, a city more joyful than the Lord of the Gods’ city Purindada. He was born to King Suddhodana, who was an excellent Master of Men, a protector of those without protection, the pride of the family descended from King Okkāka, a pure dwelling place of countless virtues, whose lotus-like feet were served by bejeweled princes, as many as a swarm of bees. The Bodhisatta, after showing himself in a dream as a beautiful, noble elephant as white as the moon, with an excellent white lotus in his lovely pure white trunk, which was like a silver chain, descended to the womb of Queen Māyā, who had very red lips, eyes like blossoming lotuses, eyebrows like delightful rainbows, a noble face like a pure and pleasing full moon, charming breasts, hands and feet which were as lovely as lotus shoots, beautiful skin and body, and was adorned with countless good qualities such as virtue and so forth. At the moment he was conceived countless wonders arose, and afterwards he was taken care of by gods and men. Like a delightful golden image sitting in a pleasing red lotus, the golden-skinned Lord of Men sat cross-legged in his mother's womb, and like a red thread strung through a clear jewel, the Hero enlightened his mother's mind."
Ops/011.html,82,96,"The Birth [vv. 82-96] The Birth [vv. 82-96] At the end of ten months the Queen said to the King: “Your Majesty! I wish to go to my relatives’ house.” She received permission from the King, and while going along a smooth road - like a heavenly road - under the protection of a great retinue of her own clan, she saw the Lumbini Grove, an extensive, delightful abode, having Sal groves decorated with bunches of fragrant flowers, with the sound of rapt bees humming. She was summoned, as it were, by flocks of birds who led her on, and after delighting in her charming play in that place, which was like the play of a young immortal, she went to the root of an excellent blossoming Sal tree, and grasped a branch which bent itself down for her, and at that time she was shaken by the pangs of childbirth. The people threw a screen around the Queen and retreated from that place and stood around guarding her. Standing there hanging on to the branch with her cotton-soft lotus-like hands, which had beautiful fingers with copper-coloured nails, which were adorned with charming golden bracelets, she gave birth to the Hero. He descended from the unequalled womb of his mother, with his golden-skinned, beautiful body and delightful eyes, and with his delightful hands and feet stretched forth, like a golden goose from a lotus. The Supreme Divinities, after taking a priceless, golden net, approached and caught him as he was born, and stood in front of her, saying: “Rejoice, Your Majesty, an excellent son has been born to you.” Other men are born with their limbs smeared with impurities, but this excellent Lord of Men was born pure, like a priceless jewel deposited on exceedingly soft, spotless silk. Then two streams of water fell from the sky, making his body and his Mother's body cool and pleasing on that auspicious occasion. From the Supreme Divinities’ delightful hands the Gods, having approached, took him on an antelope skin mat, and from their hands noblemen received that Champion Lion of a Man, with a pillow made of silk, and from their hands, like a delightful spotless moon, having placed his broad wheel-marked feet on the plains of the earth, he looked to the easterly direction with his long lotus-like eyes. Then countless hundreds of universes became clear to him, with their men and gods worshipping him with perfumes and so on, and to the Hero they said this: “Sage! There is not even one man here who is your equal, how to say greater?” In this way the Protector of the World, looking in all directions, and not seeing one who was his equal, having taken seven steps in the northerly direction said this: “I am the greatest in the world, I am the elder in the world, I am the best in the world. This is my last birth, There is no more rebirth for me”. (from DN 14)"
Ops/012.html,97,117,"The 32 Wonders [vv. 97-117] The 32 Wonders [vv. 97-117] At this supreme, rare and extraordinary sound the Supreme Divinities and other Gods worshipped the Lord of Men, and a great number of people, taking the Lord of Men, went to the beautiful city called Kapilavatthu. Although strong enough to bear the great weight of the forests, the King of mountains Meru, and all the waters of the ocean, the Earth, as though unable to bear the weight of the virtues of that most excellent being, at the moment of his birth trembled. And at that time 32 wonders arose: Dogs sported with deer, crows with owls, snakes with birds, and gangs of cats sported with rats. Just as parents associate with their children, so animals associated with lions, which are known as the Lords of Animals. Just as the teacher Sarabhaṅga's arrow returned to him, so ships which had gone to foreign lands returned to their home lands; the great ocean was decorated with variously coloured lotuses; the foaming waves became peaceful, and its waters became exceedingly sweet. The sky became crowded with hanging lotuses in full bloom; the birds abandoned their flight through the air; the rivers stood still, and did not flow. As a bride becomes supremely beautiful through loving intercourse, so the Earth became supremely beautiful through a meeting with an out-of-season cloud, and it was adorned with countless flowers which rained down as if sent by the Gods. Lordly trees were surrounded by creepers and slender women bearing delightful blooming flowers. The clearirngs in all directions were resplendent, and the sky was filled with fragrant blossoms; the whole sky, being scented with fragrant perfumes, was most delightful. The Gods and Demons clad in festive clothes went about joined together in song. All people spoke kindly, and it became clear in all directions. Elephants trumpeted, lions roared, and there was the neighing of horses. Flutes, lutes, and the drums of the Gods in the sky each let loose their charming sounds. The various world-elements with their lordly mountains were pervaded by delightful and great rays of light. A pleasing, fragrant, soft, cool breeze blew pleasantly over all the people. People oppressed in their limbs with countless diseases and so on were freed therefrom and became happy. The worlds were aroused and became delightful with an immeasurable covering of light, and the waters having broken free from the earth flowed along. The limbs of cripples were straightened out, the blind saw the lame dancing and sporting, and the deaf heard the delightful songs of the dumb. Even as far as the fires of hell all became cool, and those born in water rejoiced, and the creatures of the earth made merry. For Hungry Ghosts who were overwhelmed with hunger and thirst there was food. In the unbroken darkness of space there was light, and in the sky the multitude of stars, the moon, and the sun shone surpassingly bright, as also the treasures hidden in the earth. Large blossoming lotuses, having the five variegated colours, after breaking through the surface of the earth, sprang up one on top of the other. Without being played upon or struck, kettle-drums, ornaments and so on let loose an endlessly sweet sound on earth. Men bound with chains and so forth were loosened therefrom. The doors and windows in the various abodes in the world opened by themselves, and because of that the rejoicing hosts of Gods in the Heavens went around sporting, throwing up their clothes and so forth."
Ops/013.html,118,128,"The Ascetic Kāladevala [vv. 118-128] The Ascetic Kāladevala [vv. 118-128] The ascetic Kāladevala, who had supernatural power and great wisdom, was the family advisor of the devout King Suddhodana. At the end of his meal, he went to Heaven and sat down to spend the day there. He saw that the Gods had put on festive clothes and were sporting around, and he asked them the reason for their great joy, and they answered him: “In the city of Kapilavatthu there is born to King Suddhodana a son, who, near the Bodhi Tree, will become a Buddha.” After hearing about this, with his mind joyful and elated he instantly departed from there and entered King Suddhodana's dwelling. While sitting on the prepared seat, the seer said: “It seems, Great King, an unsurpassed and sagacious son has been born to you, I long to see him”. The King, summoned the Prince, and approached to make him pay his respects to Kāladevala, but instantly, by the power of the Prince's virtues, his delightful lotus-like feet turned about and were placed on the ascetic's head - in that life there was no one in the three realms of existence the Supreme Man should pay respects to. If the head of the Protector of the Three Worlds had been placed at the ascetic's feet the ascetic's head would surely have split asunder. And so with his hands raised in reverential salutation to the Hero, Kāladevala thought: “It is not suitable to destroy myself.” The Lord of Men Suddhodana, the God beyond all Gods, having seen that wonder, was satisfied, and paid great respect to his son's tender, beautiful, wheel-marked lotus feet."
